"","x"
"1","TCGA-QQ-A5VD-01A-21R-A32Q-07"
"2","TCGA-PC-A5DK-01A-11R-A27Q-07"
"3","TCGA-Z4-A8JB-01A-23R-A37L-07"
"4","TCGA-DX-A7ES-01A-31R-A39D-07"
"5","TCGA-KD-A5QU-01A-11R-A27Q-07"
"6","TCGA-DX-A6B9-01A-12R-A32Q-07"
"7","TCGA-DX-A2J0-01A-11R-A21T-07"
"8","TCGA-DX-A8BX-01A-11R-A37L-07"
"9","TCGA-X6-A8C6-01A-11R-A36F-07"
"10","TCGA-X9-A973-01A-11R-A38C-07"
"11","TCGA-DX-A6B7-01A-11R-A30C-07"
"12","TCGA-DX-A8BV-01A-11R-A37L-07"
"13","TCGA-X2-A95T-01A-11R-A37L-07"
"14","TCGA-K1-A6RT-01A-32R-A33J-07"
"15","TCGA-DX-AB2E-01A-11R-A39D-07"
"16","TCGA-DX-AB2L-01A-32R-A41I-07"
"17","TCGA-X9-A971-01A-11R-A38C-07"
"18","TCGA-DX-A8BU-01A-11R-A37L-07"
"19","TCGA-DX-A48R-01A-11R-A30C-07"
"20","TCGA-HB-A43Z-01A-11R-A24X-07"
"21","TCGA-RN-A68Q-01A-11R-A30C-07"
"22","TCGA-QQ-A5VB-01A-11R-A36F-07"
"23","TCGA-3B-A9HS-01A-11R-A39D-07"
"24","TCGA-QQ-A5V2-01A-11R-A32Q-07"
"25","TCGA-IS-A3K7-01A-11R-A21T-07"
"26","TCGA-DX-A8BM-01A-11R-A41I-07"
"27","TCGA-QQ-A5VC-01A-31R-A32Q-07"
"28","TCGA-DX-A3U5-01A-11R-A22K-07"
"29","TCGA-3B-A9HU-01A-11R-A39D-07"
"30","TCGA-FX-A8OO-01A-11R-A36F-07"
"31","TCGA-DX-A1L0-01A-11R-A24X-07"
"32","TCGA-MB-A8JK-01A-11R-A36F-07"
"33","TCGA-WK-A8Y0-01A-11R-A41I-07"
"34","TCGA-DX-A3U6-01A-11R-A29R-07"
"35","TCGA-SG-A6Z7-01A-12R-A32Q-07"
"36","TCGA-DX-A1L1-01A-11R-A24X-07"
"37","TCGA-DX-A3UD-01A-11R-A30C-07"
"38","TCGA-DX-A6YU-01A-12R-A33J-07"
"39","TCGA-SI-A71O-01A-12R-A33J-07"
"40","TCGA-WK-A8XZ-01A-11R-A37L-07"
"41","TCGA-SI-A71Q-01A-12R-A33J-07"
"42","TCGA-X6-A8C7-01A-11R-A36F-07"
"43","TCGA-HS-A5N9-01A-11R-A26T-07"
"44","TCGA-3B-A9HV-01A-11R-A39D-07"
"45","TCGA-DX-A6BH-01A-12R-A30C-07"
"46","TCGA-DX-A7EN-01A-11R-A39D-07"
"47","TCGA-K1-A42X-02A-11R-A24X-07"
"48","TCGA-QQ-A8VD-01A-42R-A39D-07"
"49","TCGA-WK-A8XY-01A-11R-A37L-07"
"50","TCGA-DX-A3UB-01A-11R-A30C-07"
"51","TCGA-FX-A2QS-01A-11R-A21T-07"
"52","TCGA-FX-A3NK-01A-11R-A21T-07"
"53","TCGA-DX-AB30-01A-11R-A39D-07"
"54","TCGA-DX-AB3C-01A-11R-A41I-07"
"55","TCGA-X6-A8C2-01A-11R-A36F-07"
"56","TCGA-PT-A8TR-01A-11R-A37L-07"
"57","TCGA-DX-A6BA-01A-11R-A30C-07"
"58","TCGA-Z4-A9VC-01A-11R-A37L-07"
"59","TCGA-VT-A80J-01A-11R-A36F-07"
"60","TCGA-DX-A6YZ-01A-12R-A355-07"
"61","TCGA-MB-A5Y8-01A-11R-A29R-07"
"62","TCGA-DX-A2IZ-01A-11R-A21T-07"
"63","TCGA-Z4-AAPG-01A-11R-A39D-07"
"64","TCGA-3B-A9HT-01A-11R-A39D-07"
"65","TCGA-3B-A9HY-01A-11R-A39D-07"
"66","TCGA-K1-A3PN-01A-11R-A22K-07"
"67","TCGA-MB-A5YA-01A-11R-A29R-07"
"68","TCGA-SI-A71P-01A-12R-A33J-07"
"69","TCGA-JV-A5VE-01A-11R-A29R-07"
"70","TCGA-FX-A48G-01A-11R-A24X-07"
"71","TCGA-QC-AA9N-01A-11R-A39D-07"
"72","TCGA-SI-A71O-06A-11R-A38C-07"
"73","TCGA-DX-A8BL-01A-11R-A41I-07"
"74","TCGA-DX-AB2T-01A-11R-A38C-07"
"75","TCGA-IE-A4EH-01A-11R-A24X-07"
"76","TCGA-WK-A8XQ-01A-11R-A37L-07"
"77","TCGA-DX-AB3B-01A-11R-A41I-07"
"78","TCGA-DX-A48U-01A-11R-A30C-07"
"79","TCGA-WK-A8XS-01A-11R-A37L-07"
"80","TCGA-X6-A8C5-01A-11R-A36F-07"
"81","TCGA-MJ-A68H-01A-11R-A30C-07"
"82","TCGA-DX-A6BG-01A-11R-A30C-07"
"83","TCGA-3B-A9I3-01A-11R-A39D-07"
"84","TCGA-VT-A80J-02A-11R-A41I-07"
"85","TCGA-DX-A23V-01A-11R-A29R-07"
"86","TCGA-DX-A23T-01A-11R-A26T-07"
"87","TCGA-DX-A240-01A-32R-A27Q-07"
"88","TCGA-3B-A9HR-01A-11R-A38C-07"
"89","TCGA-K1-A3PO-01A-11R-A21T-07"
"90","TCGA-DX-A8BT-01A-11R-A37L-07"
"91","TCGA-DX-A48J-01A-21R-A30C-07"
"92","TCGA-IS-A3K8-01A-11R-A21T-07"
"93","TCGA-N1-A6IA-01A-12R-A32Q-07"
"94","TCGA-DX-A3LT-01A-12R-A21T-07"
"95","TCGA-KD-A5QS-01A-11R-A27Q-07"
"96","TCGA-FX-A76Y-01A-11R-A355-07"
"97","TCGA-IE-A3OV-01A-11R-A22K-07"
"98","TCGA-IE-A4EK-01A-11R-A24X-07"
"99","TCGA-DX-A7EL-01A-12R-A36F-07"
"100","TCGA-DX-A1L4-01A-12R-A26T-07"
"101","TCGA-PC-A5DO-01A-11R-A26T-07"
"102","TCGA-WK-A8XT-01A-11R-A37L-07"
"103","TCGA-DX-A1L3-01A-11R-A24X-07"
"104","TCGA-DX-A48L-01A-11R-A30C-07"
"105","TCGA-K1-A42X-01A-11R-A24X-07"
"106","TCGA-DX-A7EO-01A-11R-A36F-07"
"107","TCGA-DX-A48P-01A-11R-A30C-07"
"108","TCGA-DX-A2J4-01A-32R-A21T-07"
"109","TCGA-Z4-AAPF-01A-11R-A39D-07"
"110","TCGA-3B-A9I0-01A-11R-A39D-07"
"111","TCGA-DX-A8BR-01A-11R-A41I-07"
"112","TCGA-DX-A48O-01A-11R-A30C-07"
"113","TCGA-DX-AB2S-01A-11R-A39D-07"
"114","TCGA-DX-AB32-01A-11R-A41I-07"
"115","TCGA-DX-A6YT-01A-21R-A355-07"
"116","TCGA-DX-A2J1-01A-11R-A21T-07"
"117","TCGA-DX-A7EM-01A-11R-A36F-07"
"118","TCGA-IS-A3K6-01A-11R-A21T-07"
"119","TCGA-DX-A3M2-01A-21R-A22K-07"
"120","TCGA-DX-A8BK-01A-11R-A37L-07"
"121","TCGA-DX-A3UC-01A-11R-A30C-07"
"122","TCGA-HB-A5W3-01A-11R-A29R-07"
"123","TCGA-SI-AA8C-01A-11R-A38C-07"
"124","TCGA-MJ-A68J-01A-11R-A30C-07"
"125","TCGA-RN-AAAQ-01A-21R-A39D-07"
"126","TCGA-MB-A8JL-01A-11R-A36F-07"
"127","TCGA-FX-A3NJ-01A-11R-A21T-07"
"128","TCGA-MO-A47P-01A-11R-A24X-07"
"129","TCGA-K1-A3PN-02A-11R-A22K-07"
"130","TCGA-3B-A9HP-01A-11R-A38C-07"
"131","TCGA-DX-A6YS-01A-12R-A355-07"
"132","TCGA-JV-A75J-01A-11R-A32Q-07"
"133","TCGA-MJ-A850-01A-11R-A355-07"
"134","TCGA-QQ-A5VA-01A-12R-A32Q-07"
"135","TCGA-HB-A3L4-01A-11R-A21T-07"
"136","TCGA-QQ-A8VG-01A-11R-A37L-07"
"137","TCGA-DX-A3U8-01A-11R-A29R-07"
"138","TCGA-X6-A7WB-01A-11R-A355-07"
"139","TCGA-DX-A23R-01A-11R-A26T-07"
"140","TCGA-IW-A3M4-01A-11R-A21T-07"
"141","TCGA-DX-AB2G-01A-11R-A39D-07"
"142","TCGA-DX-A3UA-01A-12R-A30C-07"
"143","TCGA-DX-A3LU-01A-11R-A21T-07"
"144","TCGA-IW-A3M6-01A-11R-A21T-07"
"145","TCGA-SG-A6Z4-01A-22R-A33J-07"
"146","TCGA-DX-A8BQ-01A-11R-A37L-07"
"147","TCGA-DX-AB2W-01A-11R-A39D-07"
"148","TCGA-UE-A6QT-01A-12R-A32Q-07"
"149","TCGA-3B-A9I1-01A-11R-A39D-07"
"150","TCGA-DX-A3LW-01A-21R-A21T-07"
